"","character","element","ranking"
"1","Albedo"," Geo","5"
"2","Aloy"," Cryo","5"
"3","Arataki Itto"," Geo","5"
"4","Kamisato Ayaka"," Cryo","5"
"5","Diluc"," Pyro","5"
"6","Eula"," Cryo","5"
"7","Ganyu"," Cryo","5"
"8","Hu Tao"," Pyro","5"
"9","Jean"," Anemo","5"
"10","Kaedehara Kazuha"," Anemo","5"
"11","Keqing"," Electro","5"
"12","Klee"," Pyro","5"
"13","Sangonomiya Kokomi"," Hydro","5"
"14","Mona"," Hydro","5"
"15","Qiqi"," Cryo","5"
"16","Raiden Shogun"," Electro","5"
"17","Tartaglia"," Hydro","5"
"18","Traveler (Anemo)"," Anemo","5"
"19","Traveler (Electro)"," Electro","5"
"20","Traveler (Geo)"," Geo","5"
"21","Venti"," Anemo","5"
"22","Xiao"," Anemo","5"
"23","Yoimiya"," Pyro","5"
"24","Zhongli"," Geo","5"
"25","Amber"," Pyro","4"
"26","Lisa"," Electro","4"
"27","Kaeya"," Cryo","4"
"28","Barbara"," Hydro","4"
"29","Razor"," Electro","4"
"30","Bennett"," Pyro","4"
"31","Noelle"," Geo","4"
"32","Fischl"," Electro","4"
"33","Sucrose"," Anemo","4"
"34","Beidou"," Electro","4"
"35","Ningguang"," Geo","4"
"36","Xiangling"," Pyro","4"
"37","Xingqiu"," Hydro","4"
"38","Chongyun"," Cryo","4"
"39","Diona"," Cryo","4"
"40","Xinyan"," Pyro","4"
"41","Rosaria"," Cryo","4"
"42","Yanfei"," Pyro","4"
"43","Sayu"," Anemo","4"
"44","Kujou Sara"," Electro","4"
"45","Gorou"," Geo","4"
"46","Thoma"," Pyro","4"
